commodity,year,quarter,period_label,flow,value_usd,weight_kg,n_hs_codes,n_monthly_obs,weight_tonnes,price_usd_per_tonne
clinker,2010,1,2010Q1,export,125765.803,854.135,1,3,0.854135,147243.47205067115
clinker,2010,2,2010Q2,export,58629.213,369000.0,1,1,369.0,158.88675609756098
clinker,2010,3,2010Q3,export,118272.0,528.12,1,2,0.52812,223949.1024767098
clinker,2010,4,2010Q4,export,122496.0,777.795,1,3,0.777795,157491.36983395368
clinker,2011,1,2011Q1,export,84982.53,390120.0,1,3,390.12,217.8368963395878
clinker,2011,2,2011Q2,export,185129.66199999998,1031000.0,1,3,1031.0,179.56320271580987
clinker,2011,3,2011Q3,export,8873.949,49200.0,1,1,49.2,180.36481707317074
clinker,2011,4,2011Q4,export,4266.666,24000.0,1,1,24.0,177.77775
clinker,2012,1,2012Q1,export,126251.72799999999,707080.0,1,3,707.08,178.5536686089268
clinker,2012,2,2012Q2,export,263830.658,1372000.0,1,3,1372.0,192.29639795918368
clinker,2012,3,2012Q3,export,83842.584,505800.0,1,3,505.8,165.76232502965598
clinker,2012,4,2012Q4,export,74193.70999999999,432000.0,1,3,432.0,171.74469907407405
clinker,2013,1,2013Q1,export,83250.893,504000.0,1,2,504.0,165.18034325396826
clinker,2013,2,2013Q2,export,99587.761,576750.0,1,3,576.75,172.67058690940615
clinker,2013,3,2013Q3,export,64032.242999999995,351953.0,1,2,351.953,181.93407358368873
clinker,2013,4,2013Q4,export,56211.632,283800.0,1,2,283.8,198.06776603241718
clinker,2014,1,2014Q1,export,50259.600000000006,340200.0,1,2,340.2,147.73544973544975
clinker,2014,2,2014Q2,export,47289.366,294600.0,1,2,294.6,160.52059063136457
clinker,2014,3,2014Q3,export,584243.578,4073210.0,1,3,4073.21,143.4356632729469
clinker,2014,4,2014Q4,export,8935.944,72000.0,1,3,72.0,124.11033333333333
clinker,2015,1,2015Q1,export,26899.964,204006.0,1,3,204.006,131.85869043067362
clinker,2015,2,2015Q2,export,21724.234,164000.0,1,2,164.0,132.46484146341464
clinker,2015,3,2015Q3,export,34450.269,276000.0,1,3,276.0,124.81981521739131
clinker,2015,4,2015Q4,export,25911.582000000002,204000.0,1,3,204.0,127.01755882352943
clinker,2016,1,2016Q1,export,22515.65,184000.0,1,3,184.0,122.36766304347827
clinker,2016,2,2016Q2,export,35975.32,212260.0,1,3,212.26,169.4870441910864
clinker,2016,3,2016Q3,export,26008.256,182985.0,1,2,182.985,142.1332677541875
clinker,2016,4,2016Q4,export,2314.362,1420.0,1,1,1.42,1629.8323943661974
clinker,2018,3,2018Q3,export,1151834.604,30200000.0,1,1,30200.0,38.14021867549669
clinker,2019,2,2019Q2,export,4846.917,3940.0,1,1,3.94,1230.1819796954317
clinker,2019,3,2019Q3,export,4686.059,3920.0,1,1,3.92,1195.4232142857143
clinker,2020,1,2020Q1,export,1916.733,1200.0,1,1,1.2,1597.2775
clinker,2021,1,2021Q1,export,10388.025,42000.0,1,1,42.0,247.33392857142857
clinker,2021,3,2021Q3,export,13437.316,75000.0,1,1,75.0,179.16421333333335
clinker,2021,4,2021Q4,export,27468.311,63680.0,1,1,63.68,431.3491048994975
clinker,2022,2,2022Q2,export,178275.312,998514.0,1,1,998.514,178.54062336632236
clinker,2023,2,2023Q2,export,18423.113,24400.0,1,1,24.4,755.0456147540984
clinker,2023,3,2023Q3,export,95636.916,40700.0,1,2,40.7,2349.801375921376
clinker,2023,4,2023Q4,export,66327.807,28770.0,1,2,28.77,2305.4503649635035
clinker,2024,1,2024Q1,export,83054.117,50535.0,1,2,50.535,1643.4969229247058
clinker,2024,3,2024Q3,export,4657.875,2058.0,1,1,2.058,2263.3017492711374
clinker,2024,4,2024Q4,export,171121.157,623874.0,1,1,623.874,274.2880084760705
clinker,2010,1,2010Q1,import,18942489.343000002,311524.61,1,3,311.52461,60805.75574109539
clinker,2010,2,2010Q2,import,27687594.391,498438300.0,1,3,498438.3,55.54868955896848
clinker,2010,3,2010Q3,import,38017950.85,625645.435,1,3,625.645435,60765.96858730377
clinker,2010,4,2010Q4,import,20595444.12,344921.415,1,3,344.92141499999997,59710.54050094281
clinker,2011,1,2011Q1,import,25424337.621,449479204.0,1,3,449479.204,56.56399093605229
clinker,2011,2,2011Q2,import,28135915.769,494706763.0,1,3,494706.763,56.87392587555954
clinker,2011,3,2011Q3,import,26669744.331,499588980.5,1,3,499588.9805,53.38337187563327
clinker,2011,4,2011Q4,import,22421755.923,417480410.0,1,3,417480.41,53.70732466943779
clinker,2012,1,2012Q1,import,26212850.681,439833205.0,1,3,439833.205,59.59725273811467
clinker,2012,2,2012Q2,import,18780362.925,317461600.0,1,3,317461.6,59.15790421581698
clinker,2012,3,2012Q3,import,34382880.504,598291683.0,1,3,598291.683,57.46842465132514
clinker,2012,4,2012Q4,import,26385556.28,447675000.0,1,3,447675.0,58.939088133132294
clinker,2013,1,2013Q1,import,20204420.458,345325312.75,1,3,345325.31275,58.50836794181692
clinker,2013,2,2013Q2,import,25970629.509,466687000.0,1,3,466687.0,55.648924244729336
clinker,2013,3,2013Q3,import,42109463.156,792068508.0,1,3,792068.508,53.163915407175864
clinker,2013,4,2013Q4,import,36792399.534,676327560.0,1,3,676327.56,54.400266542442836
clinker,2014,1,2014Q1,import,42120587.49,778298000.0,1,3,778298.0,54.118843283677975
clinker,2014,2,2014Q2,import,44445202.539000005,779056665.0,1,3,779056.665,57.05002541631551
clinker,2014,3,2014Q3,import,39161946.96,727527743.84,1,3,727527.74384,53.82880212003655
clinker,2014,4,2014Q4,import,45109029.334,827341337.02,1,3,827341.33702,54.5228762489714
clinker,2015,1,2015Q1,import,38907787.596,757023000.0,1,3,757023.0,51.39578004367107
clinker,2015,2,2015Q2,import,50305775.513000004,948340760.0,1,3,948340.76,53.04609654550755
clinker,2015,3,2015Q3,import,44928727.668,891795765.5,1,3,891795.7655,50.38006391834566
clinker,2015,4,2015Q4,import,39234851.236,785362584.0,1,3,785362.584,49.95762726073541
clinker,2016,1,2016Q1,import,47592864.144999996,974326946.0,1,3,974326.946,48.84691359546983
clinker,2016,2,2016Q2,import,39699613.798,851426075.0,1,3,851426.075,46.62719989871112
clinker,2016,3,2016Q3,import,33376911.766,740937454.0,1,3,740937.454,45.04686810716954
clinker,2016,4,2016Q4,import,41530653.908,907305822.0,1,3,907305.822,45.7736001478011
clinker,2017,1,2017Q1,import,37922201.683,875089100.0,1,3,875089.1,43.33524630006247
clinker,2017,2,2017Q2,import,37645156.371,862704299.5899999,1,3,862704.29959,43.636222039105235
clinker,2017,3,2017Q3,import,49671733.708000004,1120264000.0,1,3,1120264.0,44.33931083030429
clinker,2017,4,2017Q4,import,31484759.075,725104100.0,1,3,725104.1,43.421019237099884
clinker,2018,1,2018Q1,import,41511266.326000005,897646232.0,1,3,897646.232,46.24457257901129
clinker,2018,2,2018Q2,import,52307475.735,1145739600.0,1,3,1145739.6,45.653895296103926
clinker,2018,3,2018Q3,import,51484804.945999995,1129810622.0,1,3,1129810.622,45.56941131856344
clinker,2018,4,2018Q4,import,45321097.671,1001542920.0,1,3,1001542.92,45.25127856827144
clinker,2019,1,2019Q1,import,41261743.941,834692263.0,1,3,834692.263,49.433480780928235
clinker,2019,2,2019Q2,import,53444584.95199999,1097385396.0,1,3,1097385.396,48.70174612019349
clinker,2019,3,2019Q3,import,56313232.617,1121346333.0,1,3,1121346.333,50.219304205813096
clinker,2019,4,2019Q4,import,46700972.88,887079000.0,1,3,887079.0,52.64578789487746
clinker,2020,1,2020Q1,import,41908059.056,867236300.0,1,3,867236.3,48.323691081657905
clinker,2020,2,2020Q2,import,35746399.007,706521100.0,1,3,706521.1,50.59494897887692
clinker,2020,3,2020Q3,import,51466526.371,1064325000.0,1,3,1064325.0,48.356025059075
clinker,2020,4,2020Q4,import,49201718.009,965502727.3,1,3,965502.7272999999,50.95968827202712
clinker,2021,1,2021Q1,import,46781753.58400001,921446750.0,1,3,921446.75,50.769893739383214
clinker,2021,2,2021Q2,import,49631685.953,1013234677.8,1,3,1013234.6778,48.98340635237979
clinker,2021,3,2021Q3,import,52356502.047000006,1056523200.0,1,3,1056523.2,49.5554683957721
clinker,2021,4,2021Q4,import,57010970.172000006,1108142320.0,1,3,1108142.32,51.44733590898325
clinker,2022,1,2022Q1,import,61145533.629,1072615600.0,1,3,1072615.6,57.006008144017294
clinker,2022,2,2022Q2,import,62618361.300000004,1160400310.0,1,3,1160400.31,53.96272369144748
clinker,2022,3,2022Q3,import,62928952.804,1139841800.0,1,3,1139841.8,55.2084971826792
clinker,2022,4,2022Q4,import,69904098.912,1176633040.0,1,3,1176633.04,59.41028046603213
