commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_currency,price_flag,weight_tonnes,price_usd_per_tonne,price_aud_per_tonne,value_usd,n_hs_codes,n_monthly_obs
lime,export,2011Q1,2011,1,10.427138637331256,2.5399858280025045,4.419574301185631,trade_weighted_gdp,USD,0,33763.602,12.679491275841956,,428105.297,4,7
lime,export,2011Q2,2011,2,5.948034989180646,5.778681467949516,4.419574301185631,trade_weighted_gdp,USD,0,383.0,323.33258485639686,,123836.38,3,6
lime,export,2011Q3,2011,3,10.437306150202664,2.6390774122987457,4.419574301185631,trade_weighted_gdp,USD,0,34108.645,14.000281160392037,,477530.62,4,9
lime,export,2011Q4,2011,4,5.899247827617672,6.106098499792328,4.419574301185631,trade_weighted_gdp,USD,0,364.763,448.585141585084,,163627.262,4,8
lime,export,2012Q1,2012,1,10.437446966755443,2.841769170282481,4.464775147185402,trade_weighted_gdp,USD,0,34113.4484,17.14607304255995,,584911.678,4,12
lime,export,2012Q2,2012,2,10.435667040983681,2.910688354884782,4.464775147185402,trade_weighted_gdp,USD,0,34052.783,18.369438909001943,,625530.517,4,10
lime,export,2012Q3,2012,3,10.444969919275408,2.9486366571657077,4.464775147185402,trade_weighted_gdp,USD,0,34371.05,19.07992351121074,,655797.005,4,10
lime,export,2012Q4,2012,4,10.43424285435054,2.9536034885445015,4.464775147185402,trade_weighted_gdp,USD,0,34004.32,19.17492600940116,,652030.32,4,8
lime,export,2013Q1,2013,1,6.439057996094321,5.671046817425714,4.513610066297729,trade_weighted_gdp,USD,0,625.817,290.3383065656573,,181698.648,4,9
lime,export,2013Q2,2013,2,10.431086720554898,2.904707917792589,4.513610066297729,trade_weighted_gdp,USD,0,33897.167,18.25990947857088,,618959.201,5,10
lime,export,2013Q3,2013,3,6.371786191007456,5.205232846125228,4.513610066297729,trade_weighted_gdp,USD,0,585.102,182.22329781815824,,106619.216,4,9
lime,export,2013Q4,2013,4,7.266098031354868,6.004253992628773,4.513610066297729,trade_weighted_gdp,USD,0,1430.956,405.1486321032932,,579749.8659999999,4,10
lime,export,2014Q1,2014,1,5.85811885152641,5.856550692623495,4.558245803317075,trade_weighted_gdp,USD,0,350.065,349.5164726550784,,122353.484,4,8
lime,export,2014Q2,2014,2,5.821209891532165,5.952673672795558,4.558245803317075,trade_weighted_gdp,USD,0,337.38,384.780742782619,,129817.327,3,7
lime,export,2014Q3,2014,3,6.686456275443229,6.06776663945183,4.558245803317075,trade_weighted_gdp,USD,0,801.477,431.7154278912557,,346009.986,5,10
lime,export,2014Q4,2014,4,7.291808104994655,5.914269685883152,4.558245803317075,trade_weighted_gdp,USD,0,1468.223,370.28378046114256,,543659.1630000001,5,13
lime,export,2015Q1,2015,1,6.070968648220581,5.596456492813491,4.605170185988091,trade_weighted_gdp,USD,0,433.1,269.46984530131607,,116707.39,4,6
lime,export,2015Q2,2015,2,6.030541019089775,5.9348084296739865,4.605170185988091,trade_weighted_gdp,USD,0,415.94,377.9675818627687,,157211.836,4,10
lime,export,2015Q3,2015,3,6.673789629435975,5.609505231454704,4.605170185988091,trade_weighted_gdp,USD,0,791.389,273.00912825424666,,216056.421,4,10
lime,export,2015Q4,2015,4,6.340429847976662,5.567588667467657,4.605170185988091,trade_weighted_gdp,USD,0,567.04,261.80204571106094,,148452.232,4,8
lime,export,2016Q1,2016,1,6.198454325950959,5.374261436413271,4.649407142881142,trade_weighted_gdp,USD,0,491.988,215.78044586453328,,106161.39,4,8
lime,export,2016Q2,2016,2,6.691252131305182,6.66370810338398,4.649407142881142,trade_weighted_gdp,USD,0,805.33,783.4506736368942,,630936.331,4,9
lime,export,2016Q3,2016,3,6.158143561441065,6.203743951245291,4.649407142881142,trade_weighted_gdp,USD,0,472.55,494.5973272669559,,233721.967,4,11
lime,export,2016Q4,2016,4,6.52960130336628,5.843709421437475,4.649407142881142,trade_weighted_gdp,USD,0,685.125,345.0569312169312,,236407.13,4,11
lime,export,2017Q1,2017,1,6.739333077055013,5.764411196258344,4.696732880003459,trade_weighted_gdp,USD,0,844.997,318.75130680937326,,269343.898,4,11
lime,export,2017Q2,2017,2,6.760270995939381,5.638097530349419,4.696732880003459,trade_weighted_gdp,USD,0,862.876,280.927753234532,,242405.816,4,10
lime,export,2017Q3,2017,3,6.46393645732789,5.634838681120561,4.696732880003459,trade_weighted_gdp,USD,0,641.5816510000001,280.0137421635831,,179651.679,5,10
lime,export,2017Q4,2017,4,6.133682167488464,6.066481021547616,4.696732880003459,trade_weighted_gdp,USD,0,461.131,431.1607634273125,,198821.594,4,10
