commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_currency,price_flag,weight_tonnes,price_usd_per_tonne,price_aud_per_tonne,value_usd,n_hs_codes,n_monthly_obs
lime,import,2011Q1,2011,1,11.844134002315213,3.3159122556099954,13.080786931690664,final_demand,AUD,0,139265.01816,27.9263889552779,27.547512898574464,3889169.065,4,10
lime,import,2011Q2,2011,2,11.739402048835132,3.7266401666019973,13.085871577378287,final_demand,AUD,0,125417.32416,44.787755269231866,41.5393082880776,5617160.421,5,11
lime,import,2011Q3,2011,3,11.981426572244956,3.5093180025119652,13.110276626029178,final_demand,AUD,0,159759.777,34.93141460131107,33.42546392630784,5580635.007,6,14
lime,import,2011Q4,2011,4,12.00866317648359,3.4992533409865083,13.113308505508092,final_demand,AUD,0,164170.89,33.833846646016234,33.09073523663145,5554532.716,5,10
lime,import,2012Q1,2012,1,11.206942548980319,3.797396059512349,13.131067387367716,final_demand,AUD,0,73639.92,47.329671202793264,44.584936686023646,3485353.201,4,10
lime,import,2012Q2,2012,2,12.234894720143872,3.367079890292628,13.144222711757223,final_demand,AUD,0,205848.29,29.326226086211356,28.9937384249641,6036753.492,6,12
lime,import,2012Q3,2012,3,11.822378573416783,3.503781284467599,13.144075944309979,final_demand,AUD,0,136267.96723100002,34.66849257383856,33.24090794572685,4724205.01,5,11
lime,import,2012Q4,2012,4,12.065243891814097,3.6019172602540506,13.145941222530812,final_demand,AUD,0,173727.61,38.12645518464221,36.668470092439314,6623617.937,5,13
lime,import,2013Q1,2013,1,12.004727644997672,3.4135115204932225,13.145720464430974,final_demand,AUD,0,163526.06,31.479034173513384,30.37170810043067,5147642.431,5,11
lime,import,2013Q2,2013,2,11.690279965891062,3.6162892125988466,13.142183651603624,final_demand,AUD,0,119405.431146,36.2442357894788,37.19927279620251,4327758.601,5,11
lime,import,2013Q3,2013,3,12.037960142066666,3.6434944249329195,13.152312394764186,final_demand,AUD,0,169051.74696000002,34.76613127453007,38.225178630345034,5877275.227,5,13
lime,import,2013Q4,2013,4,11.877419761929938,4.149750383393236,13.154664048353983,final_demand,AUD,0,143978.572,58.150113691918,63.41816809428814,8372370.331,4,12
lime,import,2014Q1,2014,1,11.921806535064542,3.8165859725180042,13.15630866145707,final_demand,AUD,0,150513.27045500002,40.78152630292601,45.44877976998627,6138160.898,6,13
lime,import,2014Q2,2014,2,11.613912892056423,3.9676324895560637,13.155769139530014,final_demand,AUD,0,110626.273273,49.379288078515074,52.85923778437805,5462646.617,4,12
lime,import,2014Q3,2014,3,11.986526547726092,3.9087248364903457,13.158832230739097,final_demand,AUD,0,160576.62913800002,45.51548590996304,49.83536320233814,7308723.301,5,13
lime,import,2014Q4,2014,4,11.698759675167254,3.883518859330892,13.161514857391818,final_demand,AUD,0,120422.2596,41.26780425402348,48.59491322765285,4969562.237,5,14
lime,import,2015Q1,2015,1,11.75586536814132,3.963952015934473,13.165231277631504,final_demand,AUD,0,127499.199884,40.73637069664295,52.665048327847074,5193854.67,6,15
lime,import,2015Q2,2015,2,11.995545166716594,3.744010993086344,13.167390278898885,final_demand,AUD,0,162031.35854,32.84987838749748,42.26718400332218,5322710.423,5,14
lime,import,2015Q3,2015,3,11.964600759629393,3.909908780424014,13.170696294194967,final_demand,AUD,0,157094.177257,35.67010774583187,49.894400419765255,5603566.229,6,16
lime,import,2015Q4,2015,4,12.024866610510383,3.9366856501315426,13.173457551968843,final_demand,AUD,0,166852.69069999998,36.88354021850965,51.248464168805455,6154117.928,6,16
lime,import,2016Q1,2016,1,11.70111701966667,4.071407894450892,13.181874909377813,final_demand,AUD,0,120706.471212,42.75046302146387,58.63946267666491,5160257.534,6,15
lime,import,2016Q2,2016,2,11.317439485723739,4.419649044455029,13.185576645782255,final_demand,AUD,0,82243.487464,61.77847593372088,83.06712737310833,5080877.311,6,15
lime,import,2016Q3,2016,3,11.68293826605891,4.039417662021969,13.187476733292742,final_demand,AUD,0,118532.002461,42.907108033321016,56.793260301434934,5085865.435,5,13
lime,import,2016Q4,2016,4,11.99841513162108,3.9310956123749317,13.198488884393813,final_demand,AUD,0,162497.05079299997,37.90469898956058,50.96278254858219,6159401.797,6,15
lime,import,2017Q1,2017,1,11.740258221299234,4.117060271038448,13.205531043459233,final_demand,AUD,0,125524.749,46.848224886711385,61.37854051431213,5880611.67,6,15
lime,import,2017Q2,2017,2,12.062641593203535,3.990851017366107,13.212609849160653,final_demand,AUD,0,173276.10661000002,40.77828451503432,54.10091059255292,7065902.375,5,15
lime,import,2017Q3,2017,3,11.753717230380571,4.124392729005352,13.223304943871861,final_demand,AUD,0,127225.608,48.89247366772262,61.83025012974426,6220374.689,6,16
lime,import,2017Q4,2017,4,11.838244913527715,4.1165910976923845,13.231874069155236,final_demand,AUD,0,138447.28432,47.14721613399718,61.34975009345972,6527404.037,5,14
lime,import,2018Q1,2018,1,12.308845825920976,3.8739234458005964,13.241606679685574,final_demand,AUD,0,221648.002,37.73296048028441,48.13085491602358,8363435.3,6,15
lime,import,2018Q2,2018,2,11.818706992349087,4.142406107845147,13.244094165975476,final_demand,AUD,0,135768.56569999998,47.26222514700987,62.95411375039399,6416724.5200000005,6,16
lime,import,2018Q3,2018,3,12.172541572115497,4.075715006652873,13.248620627487137,final_demand,AUD,0,193404.9724,43.01048763521864,58.892574120277196,8318442.174000001,6,16
lime,import,2018Q4,2018,4,12.316812336276717,3.9373702016932532,13.249549179286253,final_demand,AUD,0,223420.815295,36.67362216085946,51.28355839552087,8193650.563,6,16
lime,import,2019Q1,2019,1,12.142893946082534,4.226584601545827,13.252687883460384,final_demand,AUD,0,187755.14,49.07631434217992,68.4829357808287,9214330.27,5,14
lime,import,2019Q2,2019,2,12.19401228815844,4.166424573476737,13.256152736752576,final_demand,AUD,0,197602.41545,45.06775629599218,64.48447992156905,8905497.503,6,17
