commodity,flow,period_str,year,quarter,ln_quantity,ln_price,ln_demand,demand_source,price_flag,weight_tonnes,price_usd_per_tonne,value_usd,n_hs_codes,n_monthly_obs
treated_flat_steel,import,2011Q1,2011,1,11.843661638936906,7.013343306254741,13.080786931690664,final_demand,0,139199.25,1111.3639305527863,154701025.60999998,16,45
treated_flat_steel,import,2011Q2,2011,2,11.612018444593435,7.140333670480947,13.085871577378287,final_demand,0,110416.896,1261.8493607445732,139329489.63300002,16,44
treated_flat_steel,import,2011Q3,2011,3,11.784835599223454,7.117083095035708,13.110276626029178,final_demand,0,131246.905,1232.8490800144964,161807626.084,16,45
treated_flat_steel,import,2011Q4,2011,4,11.758097642636738,7.100408795305529,13.113308505508092,final_demand,0,127784.131,1212.4626222249772,154933482.551,16,46
treated_flat_steel,import,2012Q1,2012,1,11.91424406150251,7.032686653995553,13.131067387367716,final_demand,0,149379.311,1133.070693437594,169257319.5,15,43
treated_flat_steel,import,2012Q2,2012,2,11.698057202837363,7.005194872861586,13.144222711757223,final_demand,0,120337.696,1102.3448511761435,132653639.588,15,44
treated_flat_steel,import,2012Q3,2012,3,11.775540905582657,7.034783799491292,13.144075944309979,final_demand,0,130032.657,1135.4494009147256,147645502.49,17,47
treated_flat_steel,import,2012Q4,2012,4,11.981418159578899,6.932113481302624,13.145941222530812,final_demand,0,159758.433,1024.6572867799723,163697642.498,16,44
treated_flat_steel,import,2013Q1,2013,1,11.415206202655487,7.0461729267698505,13.145720464430974,final_demand,0,90690.347,1148.4550998575403,104153791.52,16,46
treated_flat_steel,import,2013Q2,2013,2,11.38521594942624,7.038457846822946,13.142183651603624,final_demand,0,88010.9,1139.6287686525193,100299753.595,15,44
treated_flat_steel,import,2013Q3,2013,3,11.608494938427775,7.002234189627756,13.152312394764186,final_demand,0,110028.526,1099.0859838747635,120930810.753,15,45
treated_flat_steel,import,2013Q4,2013,4,11.360111839220988,7.014231954154292,13.154664048353983,final_demand,0,85828.967,1112.3519807246423,95472021.446,16,45
treated_flat_steel,import,2014Q1,2014,1,11.636705602012286,6.948814816722606,13.15630866145707,final_demand,0,113176.701,1041.9141369123315,117920404.741,15,45
treated_flat_steel,import,2014Q2,2014,2,11.549908541866385,6.992993844908384,13.155769139530014,final_demand,0,103767.546,1088.9768284777592,113000453.142,16,47
treated_flat_steel,import,2014Q3,2014,3,11.532143342902446,6.9827288537760355,13.158832230739097,final_demand,0,101940.373,1077.855667950126,109877008.831,15,43
treated_flat_steel,import,2014Q4,2014,4,11.62379563954342,6.884642325012231,13.161514857391818,final_demand,0,111724.985,977.1521043301102,109172304.199,16,44
treated_flat_steel,import,2015Q1,2015,1,11.574440156439474,6.876737464585792,13.165231277631504,final_demand,0,106344.612,969.4583026077522,103096667.041,16,45
treated_flat_steel,import,2015Q2,2015,2,11.473166790341617,6.875192246572076,13.167390278898885,final_demand,0,96102.133,967.9614349662768,93023158.562,15,43
treated_flat_steel,import,2015Q3,2015,3,11.499277270639677,6.789985253530589,13.170696294194967,final_demand,0,98644.452,888.9004535906388,87685098.127,16,46
treated_flat_steel,import,2015Q4,2015,4,11.551234945769693,6.727801567185757,13.173457551968843,final_demand,0,103905.275,835.3088754637338,86792998.415,16,46
treated_flat_steel,import,2016Q1,2016,1,11.589639447812191,6.660016312566762,13.181874909377813,final_demand,0,107973.321,780.5636700199302,84280051.704,16,42
treated_flat_steel,import,2016Q2,2016,2,11.276431770735822,6.741386684682723,13.185576645782255,final_demand,0,78939.086,846.7340753096636,66840413.99,15,45
treated_flat_steel,import,2016Q3,2016,3,11.346929096182896,6.7972743640787225,13.187476733292742,final_demand,0,84704.931,895.4034188871484,75845084.814,16,46
treated_flat_steel,import,2016Q4,2016,4,11.439722206516542,6.747616827878273,13.198488884393813,final_demand,0,92941.19,852.0258168848494,79188293.332,16,45
treated_flat_steel,import,2017Q1,2017,1,10.859634756964184,6.897965710515629,13.205531043459233,final_demand,0,52033.07,990.2581933758664,51526173.894,14,42
treated_flat_steel,import,2017Q2,2017,2,10.722958305432567,6.973264618088823,13.212609849160653,final_demand,0,45385.97,1067.7027086564417,48458723.104,15,45
