commodity,flow,n_obs,trend,lag_endog,lag_price,lag_demand,lr_elasticity,lr_se,lr_tstat,lr_pvalue,sig,aic,adj_r2,bounds_stat,bounds_p_I1,bounds_sig,status
clinker,import,56,c,3,4,4,-2.0708,0.7022,-2.949,0.0032,**,-33.42,0.718,3.88,0.0856,*,OK
clinker,export,36,c,0,1,0,-1.2641,0.3063,-4.127,0.0,***,123.17,0.55,5.502,0.0105,**,OK
cement,import,56,c,4,4,0,-1.9693,0.2777,-7.092,0.0,***,-32.58,0.912,3.427,0.1438,,OK
cement,export,56,c,2,3,1,-0.1605,0.8641,-0.186,0.8527,,64.89,0.485,4.639,0.0334,**,OK
lime,import,56,c,2,1,0,-0.856,0.5201,-1.646,0.0998,^,-26.24,0.649,3.764,0.0982,*,OK
lime,export,56,c,2,0,0,-0.8941,0.279,-3.204,0.0014,**,185.71,0.466,4.176,0.0599,*,OK
crude_steel,import,56,ct,1,1,4,-1.3704,0.3282,-4.175,0.0,***,155.66,0.747,6.964,0.0013,***,OK
crude_steel,export,56,ct,0,0,3,0.2789,0.1084,2.573,0.0101,*,-42.81,0.307,13.813,0.0,***,OK
long_steel,import,42,ct,4,3,1,-1.0303,0.3827,-2.692,0.0071,**,1.58,0.918,4.826,0.0261,**,OK
long_steel,export,42,c,3,1,4,-3.3328,1.43,-2.331,0.0198,*,55.08,0.793,3.441,0.1417,,OK
flat_steel,import,56,c,1,4,3,0.037,0.6621,0.056,0.9554,,-41.58,0.901,3.893,0.0843,*,OK
flat_steel,export,55,c,1,1,3,-1.1871,0.7882,-1.506,0.132,,80.45,0.547,8.211,0.0002,***,OK
treated_flat_steel,import,56,ct,1,4,4,56.4947,312.0814,0.181,0.8563,,-28.38,0.882,1.313,0.7962,,OK
treated_flat_steel,export,55,c,3,1,0,-0.3548,0.6005,-0.591,0.5546,,74.5,0.899,2.38,0.3994,,OK
